Date,Country,Region,Plastic_Waste_Tons,Plastic_Recycled_Tons,Burned_Waste_Tons,Illegal_Dumping_Cases,Trees_Cut,Deforestation_Area_Ha,Forest_Fires_Reported
2023/8/2,USA,Mountain,2393.68,535.52,842.34,4,904,19.54,1
2020/8/16,India,Rural,1494.46,1274.11,881.7,5,835,5.29,3
2020/2/21,China,Urban,1382.28,572.55,577.54,1,859,18.52,1
2021/7/17,Russia,Urban,1382.3,258.1,750.74,3,160,7.46,1
2021/5/16,Philippines,Forest,4649.71,54.06,286.07,5,890,12.63,3
2021/4/2,Philippines,Suburban,2866.71,643.08,1381.93,3,252,3.9,0
2020/10/12,India,Mountain,1131.08,416.08,1874.5,0,809,15.32,0
2020/7/28,Brazil,Suburban,2469.81,1039.32,907.06,2,114,19.58,0
2023/10/17,USA,Forest,1998.96,310.96,884.9,2,764,15.85,0
2023/1/21,Philippines,Rural,215.91,788.1,1116.48,3,210,12.51,2
2020/6/27,Mexico,Coastal,671.24,551.51,2847.26,4,463,9.24,2
2023/4/24,USA,Urban,2106.17,233.99,971.59,4,694,7.23,1
2022/5/14,Germany,Rural,4365.18,337.22,1042.46,3,739,8.67,1
2020/3/6,USA,Rural,1391.85,115.86,5099.62,0,754,6.9,0
2020/3/2,Nigeria,Mountain,1058.03,2154.1,858.8,2,315,16.74,1
2020/7/10,China,Urban,1814.01,773.76,1354.73,2,621,17.92,3
2021/3/23,India,Suburban,1005.28,105.66,1311.25,9,254,19.02,0
2021/4/21,USA,Forest,1317.74,2073.11,765.29,3,716,8.66,1
2022/10/31,USA,Coastal,1649.3,166.21,1424.11,5,633,11.15,0
2023/5/17,Brazil,Suburban,640.14,305.43,242.65,3,205,11.75,0
2020/2/24,Germany,Urban,2970.06,445.93,882.75,4,222,13.2,2
2023/2/23,USA,Urban,535.18,563.79,446.01,2,357,0.55,0
2021/2/11,Philippines,Coastal,472.79,1017.03,1451.79,0,499,16.93,2
2024/1/6,USA,Suburban,1933.95,571.93,200.22,1,111,5.73,0
2023/8/23,Russia,Rural,2813.35,424.1,1692.26,0,422,9.71,0
2023/12/7,USA,Suburban,1897.84,653.33,31.19,2,509,16.91,0
2023/1/21,Mexico,Forest,1521.78,404.03,1380.81,5,524,19.94,2
2022/5/9,Nigeria,Urban,1307.38,352.75,376.57,3,430,16,1
2021/3/27,China,Rural,1139.91,496.33,602.24,3,766,0.98,1
2022/7/8,Russia,Mountain,3437.8,1988.93,845.76,2,621,7.69,0
